Poles, Width, Points, Ratio
Run 317: (10, 0.01, 77, 0.08948421052631579)
Run 318: (10, 0.01, 77, 0.0947421052631579)
Run 319: (10, 0.01, 77, 0.1)
Run 320: (10, 0.01, 82, 0.0001)
Run 321: (10, 0.01, 82, 0.005357894736842106)
Run 322: (10, 0.01, 82, 0.01061578947368421)
Run 323: (10, 0.01, 82, 0.015873684210526314)
Run 324: (10, 0.01, 82, 0.02113157894736842)
Run 325: (10, 0.01, 82, 0.02638947368421053)
Run 326: (10, 0.01, 82, 0.03164736842105263)
Run 327: (10, 0.01, 82, 0.03690526315789474)
Run 328: (10, 0.01, 82, 0.04216315789473685)
Run 329: (10, 0.01, 82, 0.047421052631578954)
Run 330: (10, 0.01, 82, 0.05267894736842106)
Run 331: (10, 0.01, 82, 0.05793684210526316)
Run 332: (10, 0.01, 82, 0.06319473684210526)
Run 333: (10, 0.01, 82, 0.06845263157894738)
Run 334: (10, 0.01, 82, 0.07371052631578948)
Run 335: (10, 0.01, 82, 0.07896842105263159)
Run 336: (10, 0.01, 82, 0.08422631578947369)
Run 337: (10, 0.01, 82, 0.08948421052631579)
Run 338: (10, 0.01, 82, 0.0947421052631579)
Run 339: (10, 0.01, 82, 0.1)
Run 340: (10, 0.01, 87, 0.0001)
Run 341: (10, 0.01, 87, 0.005357894736842106)
Run 342: (10, 0.01, 87, 0.01061578947368421)
Run 343: (10, 0.01, 87, 0.015873684210526314)
Run 344: (10, 0.01, 87, 0.02113157894736842)
Run 345: (10, 0.01, 87, 0.02638947368421053)
Run 346: (10, 0.01, 87, 0.03164736842105263)
Run 347: (10, 0.01, 87, 0.03690526315789474)
Run 348: (10, 0.01, 87, 0.04216315789473685)
Run 349: (10, 0.01, 87, 0.047421052631578954)
Run 350: (10, 0.01, 87, 0.05267894736842106)
Run 351: (10, 0.01, 87, 0.05793684210526316)
Run 352: (10, 0.01, 87, 0.06319473684210526)
Run 353: (10, 0.01, 87, 0.06845263157894738)
Run 354: (10, 0.01, 87, 0.07371052631578948)
Run 355: (10, 0.01, 87, 0.07896842105263159)
Run 356: (10, 0.01, 87, 0.08422631578947369)
Run 357: (10, 0.01, 87, 0.08948421052631579)
Run 358: (10, 0.01, 87, 0.0947421052631579)
Run 359: (10, 0.01, 87, 0.1)
Run 360: (10, 0.01, 92, 0.0001)
Run 361: (10, 0.01, 92, 0.005357894736842106)
Run 362: (10, 0.01, 92, 0.01061578947368421)
Run 363: (10, 0.01, 92, 0.015873684210526314)
Run 364: (10, 0.01, 92, 0.02113157894736842)
Run 365: (10, 0.01, 92, 0.02638947368421053)
Run 366: (10, 0.01, 92, 0.03164736842105263)
Run 367: (10, 0.01, 92, 0.03690526315789474)
Run 368: (10, 0.01, 92, 0.04216315789473685)
Run 369: (10, 0.01, 92, 0.047421052631578954)
Run 370: (10, 0.01, 92, 0.05267894736842106)
Run 371: (10, 0.01, 92, 0.05793684210526316)
Run 372: (10, 0.01, 92, 0.06319473684210526)
Run 373: (10, 0.01, 92, 0.06845263157894738)
Run 374: (10, 0.01, 92, 0.07371052631578948)
Run 375: (10, 0.01, 92, 0.07896842105263159)
Run 376: (10, 0.01, 92, 0.08422631578947369)
Run 377: (10, 0.01, 92, 0.08948421052631579)
Run 378: (10, 0.01, 92, 0.0947421052631579)
Run 379: (10, 0.01, 92, 0.1)
Run 380: (10, 0.01, 97, 0.0001)
Run 381: (10, 0.01, 97, 0.005357894736842106)
Run 382: (10, 0.01, 97, 0.01061578947368421)
Run 383: (10, 0.01, 97, 0.015873684210526314)
Run 384: (10, 0.01, 97, 0.02113157894736842)
Run 385: (10, 0.01, 97, 0.02638947368421053)
Run 386: (10, 0.01, 97, 0.03164736842105263)
Run 387: (10, 0.01, 97, 0.03690526315789474)
Run 388: (10, 0.01, 97, 0.04216315789473685)
Run 389: (10, 0.01, 97, 0.047421052631578954)
Run 390: (10, 0.01, 97, 0.05267894736842106)
Run 391: (10, 0.01, 97, 0.05793684210526316)
Run 392: (10, 0.01, 97, 0.06319473684210526)
Run 393: (10, 0.01, 97, 0.06845263157894738)
Run 394: (10, 0.01, 97, 0.07371052631578948)
Run 395: (10, 0.01, 97, 0.07896842105263159)
Run 396: (10, 0.01, 97, 0.08422631578947369)
Run 397: (10, 0.01, 97, 0.08948421052631579)
Run 398: (10, 0.01, 97, 0.0947421052631579)
Run 399: (10, 0.01, 97, 0.1)
